Place,Name,Club,Age,Time
1,Peter Arthurs,Liffey Valley AC,Senior,19.55
2,Shane Hughes,Mullingar Harriers,Senior,20.27
3,Martin Quinn,Unattached,Senior,20.42
4,Eoin Smyth,Cushinstown AC,Junior,21.26
5,Brendan Beere,Liffey Valley AC,O/40,21.29
6,Chris Morgan,Liffey Valley AC,Senior,21.39
7,Gavin Curran,Liffey Valley AC,Senior,21.51
8,Patrick Grady,Drogheda & District AC,O/50,22.07
9,Billy Hanly,Liffey Valley AC,O/40,22.11
10,Mike Griffin,Liffey Valley AC,Senior,22.18
11,David Walsh,Drogheda & District AC,Senior,22.21
12,Raymond Smith,Carrick Aces,Senior,22.29
13,Ciaran Leech,Na Fianna AC,Junior,22.34
14,Ronan Carey,Na Fianna AC,O/40,22.41
15,David O'Connell,Bohermeen AC,O/50,22.45
16,Laimonas Rondza,Balbriggan & District,Senior,22.52
17,Stephen Duggan,Drogheda & District AC,Senior,22.56
18,Johnny Parker,Liffey Valley AC,Senior,23.22
19,Ruary Martin,Star of the Sea AC,O/40,23.26
20,Gerry Woods,Tallaght AC,O/55,23.35
21,Paddy Mangan,Dunshaughlin AC,O/55,23.45
22,Cormac Minnock,Na Fianna AC,O/40,23.48
23,Diarmaid O'Sulivan,Liffey Valley AC,Senior,23.54
24,Alan Caul,Star of the Sea AC,O/40,24.06
25,Bernard Heaney,Garda AC,O/40,24.07
26,Conor Reilly,Liffey Valley AC,Senior,24.09
27,Peter McEvoy,Balbriggan & District,O/40,24.11
28,Chris Keeling,Balbriggan & District,O/55,24.19
29,Matt Blythe,Liffey Valley AC,Senior,24.22
30,James Caxton,Mullingar Harriers,O/40,24.24
31,John Hough,Drogheda & District AC,O/40,24.29
32,Alan King,Balbriggan & District,Senior,24.36
33,Andy Harrington,Carrick Aces,Senior,24.38
34,Danny Delaney,Star of the Sea AC,O/40,24.39
35,Paul Gill,Na Fianna AC,Junior,24.41
36,Anthony Corrigan,South O'Hanlon AC,Senior,24.59
37,Stephen O'Brien,Liffey Valley AC,Senior,25.05
38,Gerry Kenny,North East Runners,O/50,25.08
39,Hugh Kelly,Ratoath AC,Senior,25.38
40,Shane Larkin,Unattached,O/40,25.45
41,Pat Collins,Liffey Valley AC,O/55,25.57
42,Peter O'Brien,Liffey Valley AC,Senior,26.06
43,Noel Hanratty,Trim AC,O/55,26.12
44,Brian Moore,Star of the Sea AC,Senior,26.15
45,Brian Mullen,Balbriggan Road Runners,O/40,26.39
46,Colin McBride,Carrick Aces,Senior,26.46
47,Trevor Giles,Tara AC,Senior,27.18
48,Thomas Murphy,Ardee & District,O/50,27.29
49,Declan Coughlan,Star of the Sea AC,O/40,27.55
50,Edward Hogan,Balbriggan & District,Senior,28.01
51,Ryan Holcroft,Boyne AC,Senior,28.21
52,Roger Tegart,Drogheda & District AC,O/40,28.22
53,Gavin White,Glenmore AC,Senior,28.33
54,Declan Swords,Trim AC,O/40,28.38
55,Patrick Phillips,Dunboyne AC,O/50,29.04
56,Loughlin Campion,Civil Service AC,O/55,29.26
57,Joseph Kiernan,Balbriggan & District,O/40,29.36
58,Padraig Gill,Na Fianna AC,O/50,30.07
59,Greg Duggan,Mullingar Harriers,O/50,30.24
60,John Rowe,Trim AC,O/55,30.49
61,Maurice Hackett,Star of the Sea AC,O/40,31.19
62,Andy Quinn,Mullingar Harriers,O/55,31.35
63,Peter Carolan,Ardee & District,O/40,32.18
64,Mick Martin,Raheny Shamrocks AC,O/55,32.51
65,Maurice Boland,South O'Hanlon AC,O/55,34.14
66,Tom Barry,Dunboyne AC,Fit4Life,36.15
